Connection Count,Handshake Duration (s),TCP Ending Handshake Timestamp (s),Version 1 Timestamp (s),Version 1 Bytes,Version 2 Timestamp (s),Version 2 Bytes,Verack 1 Timestamp (s),Verack 1 Bytes,Verack 2 Timestamp (s),Verack 2 Bytes
8974,0.049546957015991,1661153441.00723,1661153440.95768,168,1661153440.95816,168,1661153440.95839,90,1661153441.00723,114
8975,0.017776012420654,1661153446.54828,1661153446.53051,168,1661153446.53095,168,1661153446.53127,90,1661153446.54828,114
8976,0.024770975112915,1661153452.09529,1661153452.07052,168,1661153452.0709,168,1661153452.07103,90,1661153452.09529,90
8977,0.026350021362305,1661153457.65028,1661153457.62393,168,1661153457.62462,168,1661153457.62491,90,1661153457.65028,90
8978,0.033596038818359,1661153463.20913,1661153463.17553,168,1661153463.17703,168,1661153463.17726,90,1661153463.20913,114
8979,0.006411075592041,1661153468.70719,1661153468.70078,168,1661153468.70137,168,1661153468.70156,90,1661153468.70719,114
8980,0.066041946411133,1661153474.29924,1661153474.2332,168,1661153474.23438,168,1661153474.23462,90,1661153474.29924,114
8981,0.004667043685913,1661153479.77504,1661153479.77037,168,1661153479.77118,168,1661153479.77143,90,1661153479.77504,114
8982,0.049564838409424,1661153485.39823,1661153485.34867,168,1661153485.34913,168,1661153485.34929,90,1661153485.39823,114
8983,0.048551797866821,1661153490.9226,1661153490.87405,168,1661153490.87447,168,1661153490.87459,114,1661153490.9226,90
8984,0.013401031494141,1661153496.47377,1661153496.46037,168,1661153496.46097,168,1661153496.46118,90,1661153496.47377,114
8985,0.023114919662476,1661153502.05376,1661153502.03065,168,1661153502.03141,168,1661153502.03178,90,1661153502.05376,114
8986,0.05618691444397,1661153507.62902,1661153507.57283,168,1661153507.57331,168,1661153507.57345,114,1661153507.62902,114
8987,0.058109998703003,1661153513.16786,1661153513.10975,168,1661153513.11022,168,1661153513.11053,90,1661153513.16786,114
8988,0.043549060821533,1661153518.69896,1661153518.65541,168,1661153518.65586,168,1661153518.65603,90,1661153518.69896,90
8989,0.032838106155396,1661153524.24008,1661153524.20724,168,1661153524.20772,168,1661153524.20787,114,1661153524.24008,114
8990,0.001350879669189,1661153529.74771,1661153529.74635,168,1661153529.74686,168,1661153529.7474,90,1661153529.74771,90
8991,0.050010919570923,1661153535.35294,1661153535.30293,168,1661153535.30358,168,1661153535.30389,90,1661153535.35294,90
8992,0.021898984909058,1661153540.88685,1661153540.86496,168,1661153540.86548,168,1661153540.86555,138,1661153540.88685,90
8993,0.022050857543945,1661153546.42724,1661153546.40519,168,1661153546.40559,168,1661153546.40577,90,1661153546.42724,114
8994,0.038432836532593,1661153551.99478,1661153551.95635,168,1661153551.95672,168,1661153551.95684,114,1661153551.99478,114
8995,0.063205003738403,1661153557.55882,1661153557.49561,168,1661153557.49606,168,1661153557.49621,114,1661153557.55882,114
8996,0.001561164855957,1661153574.16886,1661153574.1673,168,1661153574.16808,168,1661153574.16832,90,1661153574.16886,90
8997,0.050956964492798,1661153579.79906,1661153579.74811,168,1661153579.74859,168,1661153579.7488,90,1661153579.79906,114
8998,0.007515907287598,1661153585.29973,1661153585.29222,168,1661153585.29278,168,1661153585.29306,90,1661153585.29973,114
8999,0.008164167404175,1661153590.83917,1661153590.83101,168,1661153590.83253,168,1661153590.83275,90,1661153590.83917,114
9000,0.071053981781006,1661153596.45094,1661153596.37989,168,1661153596.38034,168,1661153596.38049,90,1661153596.45094,90
9001,0.02988600730896,1661153601.94768,1661153601.91779,168,1661153601.91862,168,1661153601.91905,90,1661153601.94768,90
